INPUT_CFG;CLASS;TIME;INFO;TEST_RAN;TEST_FOUND;TEST_RAN_PER_MUT;NUMBER_Of_FILES;NUMBER_Of_LINES;NUMBER_Of_LINES_COVERED;NUMBER_Of_MUTATIONS;NUMBER_Of_MUTATIONS_DETECTED;KILLED;SURVIVED;NO_COVERAGE;TIMED_OUT;MEMORY_ERRORRUN_ERROR;RUN_ERROR;NON_VIABLE;NOT_STARTED;STARTED
10_22.ini;com.uj.atm.common.Atm;1130;OK;16;cpFromLog;1;1;29;17;16;10;10;6;0;0;0;22;0;0;0
10_22.ini;com.uj.atm.common.CreditCard;1276;OK;28;cpFromLog;1;1;47;33;28;23;23;5;0;0;0;22;0;0;0
10_22.ini;com.uj.atm.common.DummySample;433;OK;28;cpFromLog;1;1;47;33;28;23;23;5;0;0;0;22;0;0;0
10_23.ini;com.uj.atm.common.Account;790;OK;7;cpFromLog;1;1;12;11;7;5;5;2;0;0;0;2;0;0;0
10_23.ini;com.uj.atm.common.Atm;381;OK;7;cpFromLog;1;1;12;11;7;5;5;2;0;0;0;2;0;0;0
10_23.ini;com.uj.atm.common.CreditCard;391;OK;7;cpFromLog;1;1;12;11;7;5;5;2;0;0;0;2;0;0;0
10_23.ini;com.uj.atm.common.DummySample;354;OK;7;cpFromLog;1;1;12;11;7;5;5;2;0;0;0;2;0;0;0
10_24.ini;com.uj.atm.common.Account;951;OK;7;cpFromLog;1;1;12;10;7;4;4;3;0;0;0;43;0;0;0
10_24.ini;com.uj.atm.common.Atm;970;OK;8;cpFromLog;1;1;29;14;8;4;4;4;0;0;0;43;0;0;0
10_24.ini;com.uj.atm.common.CreditCard;946;OK;7;cpFromLog;1;1;47;13;7;7;7;0;0;0;0;43;0;0;0
10_24.ini;com.uj.atm.common.DummySample;449;OK;7;cpFromLog;1;1;47;13;7;7;7;0;0;0;0;43;0;0;0
10_25.ini;com.uj.atm.common.Account;1483;OK;4;cpFromLog;1;1;12;7;4;2;2;2;0;0;0;168;0;0;0
10_25.ini;com.uj.atm.common.Atm;1819;OK;12;cpFromLog;1;1;29;11;12;10;10;2;0;0;0;168;0;0;0
10_25.ini;com.uj.atm.common.CreditCard;2594;OK;16;cpFromLog;1;1;47;19;16;14;14;2;0;0;0;168;0;0;0
10_25.ini;com.uj.atm.common.DummySample;968;OK;16;cpFromLog;1;1;47;19;16;14;14;2;0;0;0;168;0;0;0
10_3.ini;com.uj.atm.common.Account;880;OK;4;cpFromLog;1;1;12;7;4;1;1;3;0;0;0;9;0;0;0
10_3.ini;com.uj.atm.common.Atm;930;OK;9;cpFromLog;1;1;29;8;9;8;8;1;0;0;0;9;0;0;0
10_3.ini;com.uj.atm.common.CreditCard;992;OK;13;cpFromLog;1;1;47;22;13;13;13;0;0;0;0;9;0;0;0
10_3.ini;com.uj.atm.common.DummySample;407;OK;13;cpFromLog;1;1;47;22;13;13;13;0;0;0;0;9;0;0;0
10_4.ini;com.uj.atm.common.Account;973;OK;7;cpFromLog;1;1;12;10;7;3;3;4;0;0;0;30;0;0;0
10_4.ini;com.uj.atm.common.Atm;1138;OK;19;cpFromLog;1;1;29;22;19;16;16;3;0;0;0;30;0;0;0
10_4.ini;com.uj.atm.common.CreditCard;1438;OK;29;cpFromLog;1;1;47;35;29;23;23;6;0;0;0;30;0;0;0
10_4.ini;com.uj.atm.common.DummySample;448;OK;29;cpFromLog;1;1;47;35;29;23;23;6;0;0;0;30;0;0;0
10_5.ini;com.uj.atm.common.Account;404;OK;29;cpFromLog;1;1;47;35;29;23;23;6;0;0;0;27;0;0;0
10_5.ini;com.uj.atm.common.Atm;401;OK;29;cpFromLog;1;1;47;35;29;23;23;6;0;0;0;27;0;0;0
10_5.ini;com.uj.atm.common.CreditCard;399;OK;29;cpFromLog;1;1;47;35;29;23;23;6;0;0;0;27;0;0;0
10_5.ini;com.uj.atm.common.DummySample;377;OK;29;cpFromLog;1;1;47;35;29;23;23;6;0;0;0;27;0;0;0
10_6.ini;com.uj.atm.common.Account;864;OK;7;cpFromLog;1;1;12;10;7;4;4;3;0;0;0;20;0;0;0
10_6.ini;com.uj.atm.common.Atm;954;OK;9;cpFromLog;1;1;29;8;9;9;9;0;0;0;0;20;0;0;0
10_6.ini;com.uj.atm.common.CreditCard;1048;OK;16;cpFromLog;1;1;47;18;16;11;11;5;0;0;0;20;0;0;0
10_6.ini;com.uj.atm.common.DummySample;418;OK;16;cpFromLog;1;1;47;18;16;11;11;5;0;0;0;20;0;0;0
10_7.ini;com.uj.atm.common.Account;946;OK;7;cpFromLog;1;1;12;12;7;3;3;4;0;0;0;28;0;0;0
10_7.ini;com.uj.atm.common.Atm;1147;OK;19;cpFromLog;1;1;29;23;19;16;16;3;0;0;0;28;0;0;0
10_7.ini;com.uj.atm.common.CreditCard;1364;OK;26;cpFromLog;1;1;47;35;26;20;20;6;0;0;0;28;0;0;0
10_7.ini;com.uj.atm.common.DummySample;457;OK;26;cpFromLog;1;1;47;35;26;20;20;6;0;0;0;28;0;0;0
10_8.ini;com.uj.atm.common.Account;829;OK;7;cpFromLog;1;1;12;10;7;3;3;4;0;0;0;14;0;0;0
10_8.ini;com.uj.atm.common.Atm;398;OK;7;cpFromLog;1;1;12;10;7;3;3;4;0;0;0;14;0;0;0
10_8.ini;com.uj.atm.common.CreditCard;395;OK;7;cpFromLog;1;1;12;10;7;3;3;4;0;0;0;14;0;0;0
10_8.ini;com.uj.atm.common.DummySample;365;OK;7;cpFromLog;1;1;12;10;7;3;3;4;0;0;0;14;0;0;0
10_9.ini;com.uj.atm.common.Account;887;OK;7;cpFromLog;1;1;12;10;7;5;5;2;0;0;0;14;0;0;0
10_9.ini;com.uj.atm.common.Atm;1106;OK;17;cpFromLog;1;1;29;19;17;16;16;1;0;0;0;14;0;0;0
10_9.ini;com.uj.atm.common.CreditCard;1229;OK;26;cpFromLog;1;1;47;32;26;20;20;6;0;0;0;14;0;0;0
10_9.ini;com.uj.atm.common.DummySample;416;OK;26;cpFromLog;1;1;47;32;26;20;20;6;0;0;0;14;0;0;0
11.ini;com.uj.atm.common.Account;935;OK;8;cpFromLog;1;1;6;6;8;5;5;3;0;0;0;0;0;0;0
11.ini;com.uj.atm.common.Atm;1079;OK;20;cpFromLog;1;1;25;25;20;17;17;3;0;0;0;0;0;0;0
11.ini;com.uj.atm.common.CreditCard;1207;OK;21;cpFromLog;1;1;33;33;21;12;12;9;0;0;0;0;0;0;0
11.ini;com.uj.atm.common.DummySample;407;OK;21;cpFromLog;1;1;33;33;21;12;12;9;0;0;0;0;0;0;0
11_1.ini;com.uj.atm.common.Account;790;OK;1;cpFromLog;1;1;6;4;1;1;1;0;0;0;0;13;0;0;0
11_1.ini;com.uj.atm.common.Atm;790;OK;1;cpFromLog;1;1;25;4;1;1;1;0;0;0;0;13;0;0;0
11_1.ini;com.uj.atm.common.CreditCard;879;OK;7;cpFromLog;1;1;33;14;7;7;7;0;0;0;0;13;0;0;0
11_1.ini;com.uj.atm.common.DummySample;400;OK;7;cpFromLog;1;1;33;14;7;7;7;0;0;0;0;13;0;0;0
11_10.ini;com.uj.atm.common.Account;884;OK;3;cpFromLog;1;1;6;5;3;2;2;1;0;0;0;31;0;0;0
11_10.ini;com.uj.atm.common.Atm;888;OK;2;cpFromLog;1;1;25;5;2;1;1;1;0;0;0;31;0;0;0
11_10.ini;com.uj.atm.common.CreditCard;1153;OK;16;cpFromLog;1;1;33;27;16;9;9;7;0;0;0;31;0;0;0
11_10.ini;com.uj.atm.common.DummySample;441;OK;16;cpFromLog;1;1;33;27;16;9;9;7;0;0;0;31;0;0;0
11_12.ini;com.uj.atm.common.Account;912;OK;8;cpFromLog;1;1;6;6;8;6;6;2;0;0;0;0;0;0;0
11_12.ini;com.uj.atm.common.Atm;1078;OK;20;cpFromLog;1;1;25;25;20;19;19;1;0;0;0;0;0;0;0
11_12.ini;com.uj.atm.common.CreditCard;1235;OK;21;cpFromLog;1;1;33;33;21;13;13;8;0;0;0;0;0;0;0
11_12.ini;com.uj.atm.common.DummySample;409;OK;21;cpFromLog;1;1;33;33;21;13;13;8;0;0;0;0;0;0;0
11_13.ini;com.uj.atm.common.Account;939;OK;8;cpFromLog;1;1;6;6;8;4;4;4;0;0;0;3;0;0;0
11_13.ini;com.uj.atm.common.Atm;1018;OK;16;cpFromLog;1;1;25;21;16;10;10;6;0;0;0;3;0;0;0
11_13.ini;com.uj.atm.common.CreditCard;1210;OK;19;cpFromLog;1;1;33;31;19;13;13;6;0;0;0;3;0;0;0
11_13.ini;com.uj.atm.common.DummySample;413;OK;19;cpFromLog;1;1;33;31;19;13;13;6;0;0;0;3;0;0;0
11_14.ini;com.uj.atm.common.Account;960;OK;8;cpFromLog;1;1;6;6;8;4;4;4;0;0;0;3;0;0;0
11_14.ini;com.uj.atm.common.Atm;1026;OK;16;cpFromLog;1;1;25;21;16;11;11;5;0;0;0;3;0;0;0
11_14.ini;com.uj.atm.common.CreditCard;1217;OK;19;cpFromLog;1;1;33;31;19;10;10;9;0;0;0;3;0;0;0
11_14.ini;com.uj.atm.common.DummySample;421;OK;19;cpFromLog;1;1;33;31;19;10;10;9;0;0;0;3;0;0;0
11_15.ini;com.uj.atm.common.Account;909;OK;8;cpFromLog;1;1;6;6;8;4;4;4;0;0;0;10;0;0;0
11_15.ini;com.uj.atm.common.Atm;881;OK;7;cpFromLog;1;1;25;11;7;7;7;0;0;0;0;10;0;0;0
11_15.ini;com.uj.atm.common.CreditCard;1137;OK;17;cpFromLog;1;1;33;29;17;14;14;3;0;0;0;10;0;0;0
11_15.ini;com.uj.atm.common.DummySample;434;OK;17;cpFromLog;1;1;33;29;17;14;14;3;0;0;0;10;0;0;0
11_16.ini;com.uj.atm.common.Account;965;OK;8;cpFromLog;1;1;6;6;8;4;4;4;0;0;0;14;0;0;0
11_16.ini;com.uj.atm.common.Atm;930;OK;11;cpFromLog;1;1;25;15;11;10;10;1;0;0;0;14;0;0;0
11_16.ini;com.uj.atm.common.CreditCard;1146;OK;16;cpFromLog;1;1;33;27;16;13;13;3;0;0;0;14;0;0;0
11_16.ini;com.uj.atm.common.DummySample;424;OK;16;cpFromLog;1;1;33;27;16;13;13;3;0;0;0;14;0;0;0
11_17.ini;com.uj.atm.common.Account;935;OK;8;cpFromLog;1;1;6;6;8;4;4;4;0;0;0;13;0;0;0
11_17.ini;com.uj.atm.common.Atm;446;OK;8;cpFromLog;1;1;6;6;8;4;4;4;0;0;0;13;0;0;0
11_17.ini;com.uj.atm.common.CreditCard;1099;OK;20;cpFromLog;1;1;33;31;20;14;14;6;0;0;0;13;0;0;0
11_17.ini;com.uj.atm.common.DummySample;416;OK;20;cpFromLog;1;1;33;31;20;14;14;6;0;0;0;13;0;0;0
11_18.ini;com.uj.atm.common.Account;948;OK;8;cpFromLog;1;1;6;6;8;5;5;3;0;0;0;18;0;0;0
11_18.ini;com.uj.atm.common.Atm;943;OK;11;cpFromLog;1;1;25;14;11;7;7;4;0;0;0;18;0;0;0
11_18.ini;com.uj.atm.common.CreditCard;1167;OK;20;cpFromLog;1;1;33;31;20;15;15;5;0;0;0;18;0;0;0
11_18.ini;com.uj.atm.common.DummySample;433;OK;20;cpFromLog;1;1;33;31;20;15;15;5;0;0;0;18;0;0;0
11_19.ini;com.uj.atm.common.Account;920;OK;8;cpFromLog;1;1;6;6;8;5;5;3;0;0;0;17;0;0;0
11_19.ini;com.uj.atm.common.Atm;979;OK;10;cpFromLog;1;1;25;13;10;4;4;6;0;0;0;17;0;0;0
11_19.ini;com.uj.atm.common.CreditCard;1139;OK;19;cpFromLog;1;1;33;31;19;15;15;4;0;0;0;17;0;0;0
11_19.ini;com.uj.atm.common.DummySample;428;OK;19;cpFromLog;1;1;33;31;19;15;15;4;0;0;0;17;0;0;0
11_2.ini;com.uj.atm.common.Account;23084;OK;8;cpFromLog;1;1;6;6;8;3;3;5;0;0;0;11;0;0;0
11_2.ini;com.uj.atm.common.Atm;23138;OK;15;cpFromLog;1;1;25;20;15;13;13;2;0;0;0;11;0;0;0
