INPUT_CFG;CLASS;TIME;INFO;TEST_RAN;TEST_RAN_PER_MUT;NUMBER_Of_FILES;NUMBER_Of_LINES;NUMBER_Of_LINES_COVERED;NUMBER_Of_MUTATIONS;NUMBER_Of_MUTATIONS_DETECTED;KILLED;SURVIVED;NO_COVERAGE;TIMED_OUT;MEMORY_ERRORRUN_ERROR;RUN_ERROR;NON_VIABLE;NOT_STARTED;STARTED
5.ini;com.uj.atm.common.DummySample;17838;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
5_1.ini;com.uj.atm.common.Account;697;OK;0;0;1;7;7;5;5;0;0;0;0;0;5;0;0;0
5_1.ini;com.uj.atm.common.Atm;729;OK;0;0;1;13;11;10;9;0;0;1;0;0;9;0;0;0
5_1.ini;com.uj.atm.common.CreditCard;795;OK;0;0;1;19;15;22;20;0;0;2;0;0;20;0;0;0
5_1.ini;com.uj.atm.common.DummySample;17887;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
5_2.ini;com.uj.atm.common.Account;398;OK;0;0;1;7;0;5;0;0;0;5;0;0;0;0;0;0
5_2.ini;com.uj.atm.common.Atm;756;OK;0;0;1;13;6;10;4;0;0;6;0;0;4;0;0;0
5_2.ini;com.uj.atm.common.CreditCard;750;OK;0;0;1;19;10;22;13;0;0;9;0;0;13;0;0;0
5_2.ini;com.uj.atm.common.DummySample;18015;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
5_3.ini;com.uj.atm.common.Account;799;OK;0;0;1;7;7;5;5;0;0;0;0;0;5;0;0;0
5_3.ini;com.uj.atm.common.Atm;384;OK;0;0;1;13;1;10;0;0;0;10;0;0;0;0;0;0
5_3.ini;com.uj.atm.common.CreditCard;717;OK;0;0;1;19;8;22;12;0;0;10;0;0;12;0;0;0
5_3.ini;com.uj.atm.common.DummySample;352;OK;0;0;1;8;0;9;0;0;0;9;0;0;0;0;0;0
5_4.ini;com.uj.atm.common.Account;389;OK;0;0;1;7;0;5;0;0;0;5;0;0;0;0;0;0
5_4.ini;com.uj.atm.common.Atm;689;OK;0;0;1;13;4;10;3;0;0;7;0;0;3;0;0;0
5_4.ini;com.uj.atm.common.CreditCard;701;OK;0;0;1;19;4;22;3;0;0;19;0;0;3;0;0;0
5_4.ini;com.uj.atm.common.DummySample;17882;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
5_6.ini;com.uj.atm.common.Account;370;OK;0;0;1;7;0;5;0;0;0;5;0;0;0;0;0;0
5_6.ini;com.uj.atm.common.Atm;377;OK;0;0;1;13;0;10;0;0;0;10;0;0;0;0;0;0
5_6.ini;com.uj.atm.common.CreditCard;374;OK;0;0;1;19;0;22;0;0;0;22;0;0;0;0;0;0
5_6.ini;com.uj.atm.common.DummySample;17878;OK;8;0,89;1;8;8;9;8;4;1;0;4;0;0;0;0;0
5_7.ini;com.uj.atm.common.Account;692;OK;0;0;1;7;7;5;5;0;0;0;0;0;5;0;0;0
