Operator;NOT_STARTED;All_Mutants;BETHA;MEMORY_ERROR;ALPHA;SURVIVED;NO_COVERAGE;RUN_ERROR;NON_VIABLE;TIMED_OUT;STARTED;stare;nowe;Klasa;Skala;KILLED;
RETURN_VALS;0;1;195.0;0;126.0;0;0;0;0;0;0;0.39375;0.3925233644859813;org.junit.experimental.ParallelComputer;100;1;
NEGATE_CONDITIONALS;0;1;118.0;0;36.0;0;0;0;0;1;0;0.23529411764705882;0.23376623376623376;org.junit.experimental.ParallelComputer;100;0;
RETURN_VALS;0;16;203.0;0;134.0;1;7;2;0;0;0;0.3925233644859813;0.39762611275964393;org.hamcrest.CoreMatchers;100;6;
RETURN_VALS;0;12;203.0;0;146.0;0;12;0;0;0;0;0.39762611275964393;0.4183381088825215;org.junit.runner.Description;100;0;
NEGATE_CONDITIONALS;0;6;118.0;0;42.0;0;6;0;0;0;0;0.23376623376623376;0.2625;org.junit.runner.Description;100;0;
RETURN_VALS;0;3;206.0;0;146.0;0;0;1;0;0;0;0.4183381088825215;0.4147727272727273;org.junit.rules.ExpectedException;100;2;
RETURN_VALS;0;1;207.0;0;146.0;0;0;0;0;0;0;0.4147727272727273;0.41359773371104813;org.junit.rules.ExternalResource;100;1;
INCREMENTS;0;1;23.0;0;15.0;0;0;0;0;0;0;0.40540540540540543;0.39473684210526316;org.junit.rules.TemporaryFolder;100;1;
RETURN_VALS;0;2;209.0;0;146.0;0;0;0;0;0;0;0.41359773371104813;0.4112676056338028;org.junit.rules.TemporaryFolder;100;2;
NEGATE_CONDITIONALS;0;2;120.0;0;42.0;0;0;0;0;0;0;0.2625;0.25925925925925924;org.junit.rules.TemporaryFolder;100;2;
RETURN_VALS;0;3;212.0;0;146.0;0;0;0;0;0;0;0.4112676056338028;0.40782122905027934;org.junit.runner.notification.Failure;100;3;
RETURN_VALS;0;2;212.0;0;148.0;0;2;0;0;0;0;0.40782122905027934;0.4111111111111111;org.junit.runner.manipulation.Filter;100;0;
RETURN_VALS;0;1;213.0;0;148.0;0;0;0;0;0;0;0.4111111111111111;0.4099722991689751;org.junit.runners.model.FrameworkMember;100;1;
RETURN_VALS;0;5;217.0;0;149.0;0;1;0;0;0;0;0.4099722991689751;0.40710382513661203;org.junit.runners.model.FrameworkField;100;4;
CONDITIONALS_BOUNDARY;0;1;26.0;0;18.0;0;0;0;0;0;0;0.4186046511627907;0.4090909090909091;org.junit.runners.model.FrameworkMethod;100;1;
RETURN_VALS;0;9;226.0;0;149.0;0;0;0;0;1;0;0.40710382513661203;0.3973333333333333;org.junit.runners.model.FrameworkMethod;100;8;
NEGATE_CONDITIONALS;0;4;122.0;0;44.0;0;2;0;0;1;0;0.25925925925925924;0.26506024096385544;org.junit.runners.model.FrameworkMethod;100;1;
RETURN_VALS;0;2;228.0;0;149.0;0;0;0;0;0;0;0.3973333333333333;0.3952254641909814;org.junit.runner.JUnitCore;100;2;
RETURN_VALS;0;4;228.0;0;153.0;0;4;0;0;0;0;0.3952254641909814;0.4015748031496063;org.junit.matchers.JUnitMatchers;100;0;
