Operator;NOT_STARTED;All_Mutants;BETHA;MEMORY_ERROR;ALPHA;SURVIVED;NO_COVERAGE;RUN_ERROR;NON_VIABLE;TIMED_OUT;STARTED;stare;nowe;Klasa;Skala;KILLED;
RETURN_VALS;0;5;117.0;0;90.0;0;0;0;0;0;0;0.44554455445544555;0.43478260869565216;org.junit.runner.Result;100;5;
NEGATE_CONDITIONALS;0;1;61.0;0;24.0;0;0;0;0;0;0;0.2857142857142857;0.2823529411764706;org.junit.runner.Result;100;1;
RETURN_VALS;0;3;120.0;0;90.0;0;0;0;0;0;0;0.43478260869565216;0.42857142857142855;org.junit.experimental.results.ResultMatchers;100;3;
RETURN_VALS;0;3;123.0;0;90.0;0;0;0;0;0;0;0.42857142857142855;0.4225352112676056;org.junit.rules.RuleChain;100;3;
CONDITIONALS_BOUNDARY;0;1;20.0;0;15.0;0;0;0;0;0;0;0.4411764705882353;0.42857142857142855;org.junit.internal.runners.JUnit38ClassRunner;100;1;
INCREMENTS;0;1;20.0;0;14.0;0;0;0;0;0;0;0.42424242424242425;0.4117647058823529;org.junit.internal.runners.JUnit38ClassRunner;100;1;
RETURN_VALS;0;4;125.0;0;92.0;2;0;0;0;0;0;0.4225352112676056;0.423963133640553;org.junit.internal.runners.JUnit38ClassRunner;100;2;
NEGATE_CONDITIONALS;0;4;65.0;0;24.0;0;0;0;0;0;0;0.2823529411764706;0.2696629213483146;org.junit.internal.runners.JUnit38ClassRunner;100;4;
RETURN_VALS;0;5;130.0;0;92.0;0;0;0;0;0;0;0.423963133640553;0.4144144144144144;org.junit.runners.ParentRunner;100;5;
NEGATE_CONDITIONALS;0;6;70.0;0;25.0;1;0;0;0;0;0;0.2696629213483146;0.2631578947368421;org.junit.runners.ParentRunner;100;5;
RETURN_VALS;0;13;143.0;0;92.0;0;0;0;0;0;0;0.4144144144144144;0.39148936170212767;org.junit.runners.BlockJUnit4ClassRunner;100;13;
NEGATE_CONDITIONALS;0;9;79.0;0;25.0;0;0;0;0;0;0;0.2631578947368421;0.2403846153846154;org.junit.runners.BlockJUnit4ClassRunner;100;9;
